product_id,category,days_in_stock,weekly_sales_30d,stock_qty,discounts_tried,season_match,price_reductions,sales_velocity,stock_sales_ratio,aging_risk,discount_fail,low_demand,dead_stock_risk,label,days_to_dead,unit_price,locked_capital
P0000,Painkiller,5,12,111,0,1.1898750466902155,1,3.0,37.0,0,0,0,0.3,0,365.0,140.1934464226577,15561.472552915006
P0001,Generic,14,13,80,2,0.45739638300496666,1,3.25,24.615384615384617,0,0,0,0.3,0,365.0,345.4904813373458,27639.238506987662
P0002,Vitamin,83,12,124,0,0.5307813753647916,3,3.0,41.333333333333336,0,0,0,0.3,0,365.0,464.76823324548036,57631.260922439564
P0003,Generic,3,21,101,3,0.4517079068515779,2,5.25,19.238095238095237,0,1,0,0.5,0,365.0,145.80216366024902,14726.01852968515
P0004,Generic,40,18,97,1,0.3078907292563874,1,4.5,21.555555555555557,0,0,0,0.3,0,365.0,307.2939504680511,29807.513195400956
P0005,Antibiotic,35,16,96,1,1.0942965360806203,1,4.0,24.0,0,0,0,0.3,0,365.0,288.19623730864873,27666.83878163028
P0006,Vitamin,24,13,106,0,0.6250128537259279,2,3.25,32.61538461538461,0,0,0,0.3,0,365.0,338.74389339346965,35906.852699707786
P0007,Vitamin,30,15,90,0,0.47936455102896147,4,3.75,24.0,0,0,0,0.3,0,365.0,314.5054744645082,28305.49270180574
P0008,Vitamin,45,12,96,1,0.6839669790171992,0,3.0,32.0,0,0,0,0.3,0,365.0,172.757573029497,16584.72701083171
P0009,Generic,10,8,107,0,0.8989016298560126,1,2.0,53.5,0,0,0,0.3,0,365.0,361.1487612734927,38642.91745626372
P0010,Painkiller,50,12,103,0,0.9040950250611433,2,3.0,34.333333333333336,0,0,0,0.3,0,365.0,172.6969159758832,17787.78234551597
P0011,Vitamin,98,12,106,2,0.7406352099983513,2,3.0,35.333333333333336,1,0,0,0.7,1,7.204058665513358,343.8471558961946,36447.79852499662
P0012,Generic,85,15,105,1,0.8939187252497147,5,3.75,28.0,0,0,0,0.3,0,365.0,184.97000889335672,19421.850933802456
P0013,Antibiotic,10,15,93,0,0.812809749353993,2,3.75,24.8,0,0,0,0.3,0,365.0,87.09023468576194,8099.3918257758605
P0014,Painkiller,9,16,115,0,1.2871982963813828,2,4.0,28.75,0,0,0,0.3,0,365.0,107.25048732222878,12333.806042056309
P0015,Antibiotic,18,13,106,1,0.3355367609894183,1,3.25,32.61538461538461,0,0,0,0.3,0,365.0,425.3433113469899,45086.391002780925
P0016,Painkiller,26,13,103,0,1.3416361599876563,0,3.25,31.692307692307693,0,0,0,0.3,0,365.0,104.6098675034684,10774.816352857244
P0017,Generic,31,14,99,2,0.5926983068143504,1,3.5,28.285714285714285,0,0,0,0.3,0,365.0,198.73094932960268,19674.363983630665
P0018,Cough Syrup,68,18,89,0,1.1661386580435005,1,4.5,19.77777777777778,0,0,0,0.3,0,365.0,179.43878814564926,15970.052144962783
P0019,Painkiller,3,10,88,1,0.7860475396086071,3,2.5,35.2,0,0,0,0.3,0,365.0,76.03686910449258,6691.244481195347
P0020,Antibiotic,2,14,95,0,0.6531995574057432,0,3.5,27.142857142857142,0,0,0,0.3,0,365.0,319.7837900176745,30379.460051679078
P0021,Generic,29,14,103,1,1.0384168475998614,8,3.5,29.428571428571427,0,0,0,0.3,0,365.0,409.45346189426556,42173.706575109354
P0022,Painkiller,71,24,84,1,1.2226613026357251,3,6.0,14.0,0,0,0,0.3,0,365.0,496.54840411943553,41710.065946032584
P0023,Cough Syrup,12,19,96,0,0.8399237437243245,2,4.75,20.210526315789473,0,0,0,0.3,0,365.0,471.2144382408793,45236.58607112442
P0024,Cough Syrup,61,20,94,0,0.8598646116785771,1,5.0,18.8,0,0,0,0.3,0,365.0,72.19675025314264,6786.494523795408
P0025,Vitamin,18,11,101,0,0.37062778172121535,2,2.75,36.72727272727273,0,0,0,0.3,0,365.0,165.87891434940582,16753.77034928999
P0026,Vitamin,130,18,108,2,1.4087951767534126,3,4.5,24.0,1,0,0,0.7,1,-42.79529534671236,235.45321768850837,25428.947510358903
P0027,Antibiotic,135,15,95,1,1.3162760357355106,2,3.75,25.333333333333332,1,0,0,0.7,1,-58.090611095857994,443.75645631342826,42156.86334977568
P0028,Painkiller,21,12,106,0,0.7775913450509229,3,3.0,35.333333333333336,0,0,0,0.3,0,365.0,212.03815025779954,22476.04392732675
P0029,Painkiller,15,20,97,1,1.2179407357926701,0,5.0,19.4,0,0,0,0.3,0,365.0,306.6405547629913,29744.133812010157
P0030,Vitamin,31,14,98,0,0.675935010850151,1,3.5,28.0,0,0,0,0.3,0,365.0,346.8168488955186,33988.051191760824
P0031,Painkiller,16,13,99,0,1.17650615161533,1,3.25,30.46153846153846,0,0,0,0.3,0,365.0,184.08143145698858,18224.06171424187
P0032,Painkiller,66,18,98,2,0.9200300598768723,2,4.5,21.77777777777778,0,0,0,0.3,0,365.0,311.87324489614554,30563.577999822264
P0033,Cough Syrup,104,13,79,1,0.8529200666637018,2,3.25,24.307692307692307,1,0,0,0.7,1,-21.86744742795779,72.8984774283856,5758.979716842463
P0034,Vitamin,67,13,76,2,0.36782759670973764,4,3.25,23.384615384615383,0,0,0,0.3,0,365.0,266.082477832045,20222.268315235422
P0035,Generic,104,13,103,2,1.4585063061706354,3,3.25,31.692307692307693,1,0,0,0.7,1,-8.172629736371032,220.341082347943,22695.13148183813
P0036,Vitamin,30,11,107,1,1.3048907638541043,2,2.75,38.90909090909091,0,0,0,0.3,0,365.0,210.0895688214558,22479.583863895772
P0037,Generic,10,14,87,1,1.2520656815837359,2,3.5,24.857142857142858,0,0,0,0.3,0,365.0,155.70180468997592,13546.057008027905
P0038,Cough Syrup,80,15,100,0,0.6658994371844691,1,3.75,26.666666666666668,0,0,0,0.3,0,365.0,417.98040621529117,41798.040621529115
P0039,Antibiotic,26,15,104,0,0.6475082213084804,0,3.75,27.733333333333334,0,0,0,0.3,0,365.0,446.86535205155866,46473.9966133621
P0040,Painkiller,66,12,100,1,0.987831715913579,3,3.0,33.333333333333336,0,0,0,0.3,0,365.0,449.6578145472793,44965.781454727934
P0041,Cough Syrup,18,22,100,0,1.3154678354713782,2,5.5,18.181818181818183,0,0,0,0.3,0,365.0,228.24814272285212,22824.814272285214
P0042,Painkiller,5,16,99,2,1.4215540874023829,0,4.0,24.75,0,0,0,0.3,0,365.0,166.62258410288584,16495.6358261857
P0043,Antibiotic,294,13,103,0,0.6227148312093667,2,3.25,31.692307692307693,1,0,0,0.7,1,-214.00961097251061,94.28553165835555,9711.409760810622
P0044,Antibiotic,10,10,99,2,1.028897760383301,3,2.5,39.6,0,0,0,0.3,0,365.0,352.58345118023686,34905.76166684345
P0045,Cough Syrup,267,11,99,1,1.1686833598721582,3,2.75,36.0,1,0,0,0.7,1,-169.14554934084524,198.5754942912509,19658.973934833837
P0046,Antibiotic,227,23,105,1,0.5716705742198687,2,5.75,18.26086956521739,1,0,0,0.7,1,-118.0280744054828,174.49981933309485,18322.48102997496
P0047,Generic,94,15,127,2,0.7889623562669091,3,3.75,33.86666666666667,1,0,0,0.7,1,-0.7824711433308491,217.1471540019979,27577.688558253732
P0048,Antibiotic,64,13,101,2,0.5249691284563688,3,3.25,31.076923076923077,0,0,0,0.3,0,365.0,299.6256553400609,30262.19118934615
P0049,Painkiller,51,21,117,1,1.138686093322001,1,5.25,22.285714285714285,0,0,0,0.3,0,365.0,122.86636819714276,14375.365079065703
P0050,Painkiller,120,14,88,0,1.3365421638542372,2,3.5,25.142857142857142,1,0,0,0.7,1,-64.27451002852169,482.60189709601997,42468.966944449756
P0051,Painkiller,20,14,105,1,1.3530412254619861,1,3.5,30.0,0,0,0,0.3,0,365.0,379.67634254325236,39866.0159670415
P0052,Painkiller,37,12,113,0,1.1041066445912484,1,3.0,37.666666666666664,0,0,0,0.3,0,365.0,71.0535485948337,8029.050991216208
P0053,Generic,57,15,123,1,0.716582832209236,1,3.75,32.8,0,0,0,0.3,0,365.0,188.0545035249126,23130.70393356425
P0054,Vitamin,31,18,105,1,1.0932484522251054,1,4.5,23.333333333333332,0,0,0,0.3,0,365.0,72.62259672598525,7625.372656228451
P0055,Cough Syrup,33,17,82,0,1.3371200726049823,2,4.25,19.294117647058822,0,0,0,0.3,0,365.0,153.27013971656615,12568.151456758424
P0056,Painkiller,24,15,85,1,1.0510270007229399,0,3.75,22.666666666666668,0,0,0,0.3,0,365.0,178.965900457508,15212.10153888818
P0057,Antibiotic,49,14,101,1,0.7954703283550386,1,3.5,28.857142857142858,0,0,0,0.3,0,365.0,373.0908775706176,37682.17863463238
P0058,Painkiller,114,25,112,1,1.4037633008627985,5,6.25,17.92,1,0,0,0.7,1,-22.446341470960494,373.43293496882484,41824.48871650838
P0059,Antibiotic,13,18,106,1,1.3022599119233118,2,4.5,23.555555555555557,0,0,0,0.3,0,365.0,70.39638888447985,7462.017221754864
P0060,Antibiotic,163,13,95,0,1.3589222882973742,1,3.25,29.23076923076923,1,0,0,0.7,1,-39.44832822854388,314.6574410769641,29892.45690231159
P0061,Painkiller,70,14,95,1,1.3838304252483533,2,3.5,27.142857142857142,0,0,0,0.3,0,365.0,482.4097840366434,45828.92948348112
P0062,Generic,103,15,102,1,0.7725747691923758,1,3.75,27.2,1,0,0,0.7,1,-8.632344704167839,332.76427038398873,33941.95557916685
P0063,Antibiotic,48,10,110,1,1.3315668090088022,3,2.5,44.0,0,0,0,0.3,0,365.0,482.24629658536304,53047.09262438994
P0064,Antibiotic,90,11,106,1,0.9844196054960372,1,2.75,38.54545454545455,0,0,0,0.3,0,365.0,221.2516026364255,23452.669879461104
P0065,Painkiller,0,22,108,2,0.34579076826484806,1,5.5,19.636363636363637,0,0,0,0.3,0,365.0,256.90023101849613,27745.22494999758
P0066,Antibiotic,102,17,88,1,1.063003627824141,3,4.25,20.705882352941178,1,0,0,0.7,1,-11.467361472008191,272.9689303984063,24021.265875059755
P0067,Antibiotic,2,21,99,2,0.8647427091533944,2,5.25,18.857142857142858,0,0,0,0.3,0,365.0,465.7761926172568,46111.84306910842
P0068,Painkiller,132,18,107,3,0.6301855910247569,2,4.5,23.77777777777778,1,1,0,0.8999999999999999,1,-51.96606354381358,221.12647378240695,23660.53269471754
P0069,Painkiller,289,20,99,1,1.4644597680564475,2,5.0,19.8,1,0,0,0.7,1,-195.5420225755678,492.53828376512587,48761.29009274746
P0070,Cough Syrup,20,12,108,1,0.3660850299515689,0,3.0,36.0,0,0,0,0.3,0,365.0,294.40671581454427,31795.92530797078
P0071,Generic,14,12,100,2,1.4350528688484798,0,3.0,33.333333333333336,0,0,0,0.3,0,365.0,148.15432514015114,14815.432514015114
P0072,Generic,86,4,108,1,0.4911204727615658,1,1.0,108.0,0,0,1,0.4,0,365.0,96.65962186873992,10439.23916182391
P0073,Antibiotic,17,12,85,2,0.7523858151606386,3,3.0,28.333333333333332,0,0,0,0.3,0,365.0,127.79273759039705,10862.38269518375
P0074,Generic,120,12,108,1,0.8006822105032192,3,3.0,36.0,1,0,0,0.7,1,-24.245107675265494,67.67723431423646,7309.141305937537
P0075,Antibiotic,6,16,106,0,1.1772246223929765,1,4.0,26.5,0,0,0,0.3,0,365.0,361.53961396923904,38323.19908073934
P0076,Cough Syrup,8,14,119,2,0.5587310504840455,1,3.5,34.0,0,0,0,0.3,0,365.0,282.60688103479583,33630.218843140705
P0077,Painkiller,232,9,103,0,1.4833222118730471,1,2.25,45.77777777777778,1,0,0,0.7,1,-143.00655302195594,382.0657516502403,39352.77241997475
P0078,Painkiller,67,17,102,1,1.1988142233168275,0,4.25,24.0,0,0,0,0.3,0,365.0,402.01795475408625,41005.8313849168
P0079,Painkiller,112,18,103,0,1.2479431660164657,3,4.5,22.88888888888889,1,0,0,0.7,1,-21.91031252320539,469.11341962358574,48318.682221229334
P0080,Generic,23,21,102,0,0.4277145272578734,1,5.25,19.428571428571427,0,0,0,0.3,0,365.0,102.64924745997365,10470.223240917312
P0081,Cough Syrup,67,22,116,1,0.8715744114113402,4,5.5,21.09090909090909,0,0,0,0.3,0,365.0,133.74645985347945,15514.589343003616
P0082,Generic,54,19,82,0,1.4347312205739466,5,4.75,17.263157894736842,0,0,0,0.3,0,365.0,296.7234446944914,24331.322464948295
P0083,Generic,55,17,92,5,0.6240792858621678,1,4.25,21.647058823529413,0,1,0,0.5,0,365.0,108.28594079833152,9962.3065534465
P0084,Cough Syrup,68,23,99,0,0.4744603859410316,4,5.75,17.217391304347824,0,0,0,0.3,0,365.0,91.72477692734796,9080.752915807449
P0085,Cough Syrup,51,16,117,1,0.8824733517170258,3,4.0,29.25,0,0,0,0.3,0,365.0,349.8519194812543,40932.67457930675
P0086,Cough Syrup,33,22,92,1,1.41647168358145,3,5.5,16.727272727272727,0,0,0,0.3,0,365.0,376.1201820958469,34603.056752817916
P0087,Cough Syrup,19,15,104,1,0.8841487493167526,0,3.75,27.733333333333334,0,0,0,0.3,0,365.0,429.53022180262553,44671.14306747306
P0088,Painkiller,87,19,90,1,0.7858011635035906,4,4.75,18.94736842105263,0,0,0,0.3,0,365.0,462.08600527310034,41587.74047457903
P0089,Vitamin,15,7,123,0,1.0803269240565319,6,1.75,70.28571428571429,0,0,1,0.4,0,365.0,249.12475009456927,30642.34426163202
P0090,Vitamin,70,15,90,2,1.4242607986206615,1,3.75,24.0,0,0,0,0.3,0,365.0,490.94345219437224,44184.9106974935
P0091,Cough Syrup,15,20,103,0,0.35886893904487926,3,5.0,20.6,0,0,0,0.3,0,365.0,67.04914671616339,6906.06211176483
P0092,Vitamin,58,9,94,1,0.4840746545720295,0,2.25,41.77777777777778,0,0,0,0.3,0,365.0,441.5574299077717,41506.398411330534
P0093,Vitamin,82,15,117,0,0.4593051720531125,1,3.75,31.2,0,0,0,0.3,0,365.0,194.66413613165548,22775.70392740369
P0094,Cough Syrup,14,14,98,0,0.40239957875899873,3,3.5,28.0,0,0,0,0.3,0,365.0,464.771525957626,45547.60954384735
